idea_id,series,title,hook,viewer_problem,main_demo,result,cta,automation_fit,notes
001,Gmail自動化,Gmailの自動振り分け3分設定,"毎日同じメール整理をしているならこれで終わりです","重要メールが埋もれて毎日探す","Gmailのフィルタとラベルを設定して自動振り分け","受信箱の手作業が減る","続きが欲しければ保存","high","画面録画だけで成立"
002,Calendar効率化,会議後タスクを5分で整理,"会議のあと何をやるか毎回忘れる人向け","会議後に議事メモが散らかる","議事録から次アクションだけ抜くテンプレを実演","次の行動が即決まる","このテンプレ欲しければコメント","high","要点抽出テンプレ化しやすい"
003,ChatGPT仕事術,メール返信を30秒で下書き,"返信に10分かけるのはもったいないです","返信文に毎回悩む","要件を入れるだけでメール下書きを作るプロンプトを見せる","返信時間を短縮","あとで使うなら保存","high","固有名詞はダミー化"
004,Mac自動化,ファイル名の一括整理を自動化,"ダウンロードフォルダが地獄ならこれです","スクショやPDFの名前がバラバラ","Finder/Shortcutsで一括リネームする流れを実演","探す時間が減る","Mac自動化を続けて見たいならフォロー","high","OSバージョン差分に注意"
005,PDF効率化,PDFを読んでToDo化する流れ,"読んで終わるPDFをなくします","資料を読んでも行動に落ちない","PDFの要点抽出→ToDo化の流れを実演","読むだけで終わらなくなる","必要なら保存","high","サンプルPDFを使う"
006,ブラウザ整理,タブをあとで読むに変える,"タブ50枚開いてる人はこれを見てください","あとで読むつもりのタブが積み上がる","ブックマーク/メモ/リードレイター系へ送る流れを実演","集中力が戻る","タブ整理シリーズを見たいならいいね","high","ブラウザ依存なのでChrome前提に寄せる"
007,Notion運用,繰り返しタスクを自動で出す,"毎週やることを毎週考えるのをやめます","定例タスクの抜け漏れが起きる","Notionや類似ツールで recurring を再現する","ルーチン運用が安定する","次は実務テンプレを出します","medium","Notion UI変更に注意"
008,スプレッドシート,CSV整形を一発で終わらせる,"汚いCSVを手で直していたら損です","列名や日付形式がバラバラ","関数または簡単なスクリプトで整形する","分析前処理が速くなる","実例が欲しければコメント","high","サンプルCSVを使う"
009,会議効率化,議事録から次アクションだけ抜く,"会議メモが長いほど実は危険です","結局何をやるか決まらない","議事録を action owner due に変換する手順を見せる","実行率が上がる","保存して次の会議で使う","high","テンプレがシリーズ化しやすい"
010,スクショ整理,スクショを自動で整理する,"スクショを撮るだけで終わる人向け","スクショが後で見つからない","撮影→OCR→フォルダ整理の流れを簡単に見せる","情報を再利用しやすい","使いたければフォロー","medium","OCR品質の確認が必要"
